597,1479,3
332,886,1
1193,789,2
180,254,1
1356,159,1
65,1133,2
91,1393,1
304,195,1
35,887,1
641,204,3
22,1292,3
1247,1465,2
385,865,3
1042,1007,2
987,1270,2
984,616,1
442,646,3
1374,205,1
1336,135,3
711,257,1
1209,1142,3
840,788,1
628,544,2
741,227,3
188,1481,1
1256,471,2
173,996,2
617,966,2
1051,709,3
195,1251,1
183,159,1
631,402,2
239,4,2
35,660,3
249,1307,2
12,280,3
643,226,2
219,341,2
445,721,3
812,585,1
136,424,2
1283,541,2
1273,450,2
1067,50,3
122,1215,3
910,1324,1
589,1314,1
946,88,2
506,939,1
653,503,2
1076,1445,3
385,811,1
929,1191,2
1149,1439,3
1479,1342,2
566,218,2
533,794,3
1109,1445,1
201,967,3
1089,835,3
869,1495,3
308,147,1
405,836,3
591,168,2
1109,731,2
697,1451,2
332,955,1
824,624,1
377,1104,3
1296,131,3
488,1260,3
1111,1242,1
646,232,2
59,1158,2
441,85,2
128,780,2
967,941,1
1105,184,3
1122,398,1
571,530,1
1332,178,2
369,857,1
833,1165,3
564,610,2
1212,425,2
987,1371,1
1172,1161,3
21,1320,3
1354,1222,3
701,348,3
603,28,1
1260,692,2
744,977,2
1060,1297,1
685,1327,3
558,1103,1
1344,496,2
216,1186,3
758,1211,2
1135,656,3
610,1068,1
158,1300,2
884,131,1
1403,457,1
1417,1295,3
956,1325,2
50,227,3
421,1395,2
1168,761,3
712,686,2
646,617,3
1264,692,2
705,1481,3
1121,926,1
900,1057,1
454,632,1
21,1309,3
1359,144,1
228,171,3
279,571,2
772,1283,1
378,3,3
153,522,2
912,1422,1
362,554,2
378,905,2
1131,714,3
975,1262,3
572,1303,1
160,12,3
1333,228,1
323,1146,1
138,1306,2
1319,1145,3
1004,634,2
942,553,2
1425,705,3
85,995,2
390,1459,1
1209,827,2
1214,463,2
542,1381,1
78,905,3
233,1131,3
68,777,3
775,246,2
1074,1268,2
789,1430,3
394,1438,1
1474,664,3
477,1296,3
68,1480,1
302,332,1
570,1072,3
1458,750,2
1247,1409,1
1081,952,3
1392,657,1
1264,1022,1
1141,1080,1
649,658,2
1160,956,1
681,1274,2
500,493,1
1481,943,1
1043,79,3
680,108,3
249,125,2
1110,1466,1
922,967,1
799,248,3
982,191,1
489,71,1
298,18,1
1212,542,3
989,1049,1
1154,818,3
875,838,3
1021,821,1
502,730,1
962,939,3
1157,697,1
1083,251,1
821,385,3
1011,1399,3
1072,256,3
801,696,1
115,1395,3
1247,167,1
309,880,2
310,1037,2
278,430,1
105,1394,3
1358,1014,2
119,632,3
422,83,1
1413,1418,3
1397,1097,1
815,1389,3
85,913,2
504,86,2
262,1298,1
1254,746,2
1307,1283,2
945,1447,1
692,490,1
704,1046,2
96,1290,2
163,682,1
190,1151,2
886,398,3
934,544,2
580,691,3
1212,944,1
532,1340,1
923,529,1
872,236,1
954,1438,2
504,395,2
1261,1464,1
1378,813,2
801,739,2
1244,339,2
4,1241,3
278,831,3
288,1176,3
680,1402,2
470,458,2
625,81,2
643,152,1
889,477,3
1433,1318,3
1324,235,3
1284,1077,3
1289,378,3
918,910,1
1411,277,2
623,1421,3
801,29,3
730,455,3
707,818,2
928,915,3
1443,1212,3
426,1060,3
186,37,1
984,1185,2
248,957,3
111,19,2
1247,564,1
683,1079,3
378,1110,3
1391,1465,2
1002,523,3
264,29,2
893,705,3
693,1481,1
939,704,2
1270,650,1
354,186,2
976,822,3
438,798,1
19,593,3
871,1421,2
272,342,1
784,896,2
1185,1115,1
179,839,1
1040,1393,1
474,1485,2
1269,100,1
64,219,1
1366,983,3
138,1236,1
171,1171,1
366,133,2
1315,448,2
446,1378,2
679,605,1
1447,156,1
1390,399,2
1129,893,3
1026,1307,3
1184,394,3
1455,978,2
99,283,2
367,105,2
824,35,2
972,1307,1
217,77,1
1402,1394,2
1470,104,1
1076,380,1
1116,1155,3
178,1239,2
329,414,3
1156,193,1
1139,978,1
202,79,3
1488,775,1
209,1358,2
126,348,1
622,564,3
1322,421,3
908,847,2
343,92,1
1491,598,1
21,113,1
268,187,1
1421,905,2
608,790,1
317,223,1
1302,1233,3
1340,702,1
1208,1046,3
926,698,3
1008,33,1
460,867,2
66,1214,3
478,211,1
441,1358,1
215,1495,1
1113,255,2
1311,1500,2
1288,816,3
86,590,1
29,260,1
1295,255,1
870,1004,1
466,1220,3
861,939,1
97,732,3
1467,114,1
202,843,2
1310,1241,1
166,214,2
1335,7,3
195,452,1
459,372,3
46,1030,1
926,1095,1
138,587,2
839,1146,3
1325,1254,3
1386,689,1
1032,70,1
903,669,1
1392,857,3
491,111,3
858,886,2
1470,309,2
1154,880,2
745,314,3
1024,1472,1
19,232,2
560,163,3
1020,1050,1
840,289,2
1193,1265,2
1484,117,3
339,471,2
1385,465,3
1329,206,1
1358,1023,3
5,180,2
269,1413,1
774,1192,3
70,1072,3
225,714,2
39,1234,3
97,326,2
841,796,2
1010,1037,3
1056,1000,3
40,734,3
891,818,3
102,357,2
415,1032,3
976,1384,1
811,1048,2
1447,1230,3
580,1217,3
918,162,3
913,1191,1
288,673,3
744,467,2
317,1126,1
1383,814,2
561,1277,1
1051,682,1
621,534,3
282,52,3
850,489,3
1032,239,2
136,571,1
1385,590,3
954,276,3
777,673,2
1262,188,3
326,841,2
433,364,3
1454,1392,3
903,884,3
757,24,1
917,84,2
214,916,1
534,674,1
629,1096,1
1371,1426,1
605,1022,3
1143,1098,1
1362,1332,2
128,963,3
93,961,1
1202,1491,2
786,1185,2
259,53,2
97,1300,3
537,1487,2
1489,1138,3
1189,1245,2
910,802,1
443,1374,1
1412,351,3
559,1385,2
1175,1289,2
1433,1277,1
1324,1202,2
19,172,2
434,319,1
442,1257,2
97,706,1
968,1076,2
1155,1046,2
775,321,3
633,561,2
452,1126,1
753,140,1
535,888,1
264,1287,1
299,1451,2
1303,224,3
370,1188,2
1420,560,1
1337,1166,3
1478,421,1
282,1317,2
206,304,3
1310,507,3
510,339,1
569,186,3
699,1012,3
1212,367,1
898,687,2
913,1164,1
1372,297,3
134,1228,3
1274,217,3
1234,623,3
1142,1399,3
671,756,2
64,480,1
1010,1136,2
605,1242,2
1266,992,3
1283,1425,2
989,641,1
985,1254,3
27,1067,2
585,1415,3
1320,266,3
752,1239,2
512,1154,3
674,585,1
369,242,1
381,383,1
1224,877,3
1323,483,3
759,726,3
699,176,2
490,1195,1
326,1126,3
286,346,3
845,415,1
17,1472,2
1128,691,2
171,26,3
231,434,2
1030,1124,2
572,938,2
13,195,1
1204,999,1
1056,1258,2
1022,682,3
1255,57,1
531,412,2
1298,832,3
1085,466,2
905,355,2
8,977,1
262,1125,3
739,621,3
482,1424,3
1202,390,2
430,99,2
332,160,1
155,88,3
922,97,1
64,76,3
1400,69,3
511,743,1
1003,566,2
622,1122,1
634,311,3
535,881,3
1488,840,1
540,939,2
537,811,2
141,1245,3
873,171,3
1381,776,2
501,1423,1
947,1150,1
1238,767,2
724,809,1
495,425,1
1212,1299,3
1154,597,1
333,1035,3
1004,1023,2
224,1388,1
648,1036,2
921,558,3
159,1271,3
1033,681,3
1357,789,1
290,1207,1
801,1051,3
560,1132,3
320,1051,2
1109,402,1
471,183,3
782,1111,1
952,511,1
442,1002,1
669,561,2
672,409,1
194,40,1
772,70,2
1340,933,3
285,1245,3
1228,328,2
491,393,3
564,181,2
430,924,3
876,1199,3
1278,573,1
485,1168,3
1068,1064,1
1068,399,2
633,1356,2
1154,800,1
1373,1494,1
73,970,3
497,651,3
328,399,2
543,1114,2
944,1229,2
481,758,1
1429,560,3
247,1260,1
242,546,1
492,500,1
143,1363,2
1106,1354,2
323,1344,3
850,871,1
972,457,2
43,1340,3
1289,807,2
226,359,2
754,939,1
923,717,3
612,460,1
694,51,2
1475,402,1
323,110,1
864,1158,1
800,564,2
426,847,1
144,118,2
1261,520,3
32,285,3
365,1249,3
1222,1296,2
448,532,2
102,533,3
1147,1048,3
593,1403,2
382,1204,2
1436,540,2
102,1319,1
248,685,1
306,186,2
1269,1097,3
1219,868,1
1060,1038,2
47,1393,2
440,892,3
1456,463,1
1014,227,1
598,521,1
1337,115,1
961,136,2
851,107,3
1058,829,1
53,305,2
416,606,1
938,1115,2
264,723,3
1367,558,3
706,1488,3
1499,378,2
1107,108,3
1335,1374,3
74,624,2
518,661,1
928,507,1
399,935,2
282,848,2
251,117,2
463,990,2
861,1083,3
179,238,3
124,1378,3
106,647,3
877,351,2
875,1221,3
872,413,2
564,1143,3
1252,535,2
1376,1450,2
868,1434,2
640,1246,1
1349,590,3
89,589,1
552,1233,2
194,483,3
673,76,1
1383,1446,1
657,606,2
896,1067,1
1035,606,2
1110,84,2
877,1302,1
653,1034,1
942,658,1
766,1073,2
432,1260,2
375,1409,2
799,666,2
88,150,2
1410,487,1
802,1051,2
888,516,2
1001,1406,3
577,1415,2
1029,571,2
370,311,2
379,387,2
1426,12,1
935,492,2
1096,879,3
211,486,2
878,926,2
1365,91,2
1383,543,1
34,1353,3
1169,46,2
498,643,3
1302,628,3
1335,43,3
1337,967,3
1480,221,3
1119,366,1
57,848,1
343,228,2
1367,233,2
81,425,2
488,970,3
500,224,2
1494,1133,2
220,672,1
727,1423,3
938,835,1
556,829,2
171,256,3
1464,1477,1
1492,1421,2
879,884,3
1360,353,2
68,330,2
919,1101,3
921,155,3
1307,1159,1
1472,1252,1
515,1225,3
1268,1263,2
614,1124,3
1205,1078,2
480,1189,1
1466,740,1
849,166,3
899,948,1
1454,22,3
529,1093,3
395,909,1
832,1488,1
1028,220,3
25,377,2
987,377,2
91,1458,3
11,906,1
1038,1290,3
1412,306,3
1459,456,1
364,591,2
951,24,1
656,726,2
1015,1146,2
313,683,3
1454,658,1
